Vértice,X,Y,Z
0,-21.9839,16.1157,0.0000
1,-21.7716,16.1711,0.0000
2,-21.5569,16.2266,0.0000
3,-21.3420,16.2795,0.0000
4,-21.1291,16.3275,0.0000
5,-20.9203,16.3679,0.0000
6,-20.7179,16.3984,0.0000
7,-20.5241,16.4164,0.0000
8,-20.3410,16.4195,0.0000
9,-20.1710,16.4051,0.0000
10,-20.0161,16.3707,0.0000
11,-19.8786,16.3139,0.0000
12,-19.7607,16.2323,0.0000
13,-19.6127,16.0979,0.0000
14,-19.3913,15.8900,0.0000
15,-19.1082,15.6166,0.0000
16,-18.7752,15.2858,0.0000
17,-18.4043,14.9055,0.0000
18,-18.0071,14.4839,0.0000
19,-17.5955,14.0288,0.0000
20,-17.1813,13.5483,0.0000
21,-16.7763,13.0505,0.0000
22,-16.3923,12.5434,0.0000
23,-16.0412,12.0349,0.0000
24,-15.7347,11.5331,0.0000
25,-15.4658,11.0448,0.0000
26,-15.2107,10.5782,0.0000
27,-14.9560,10.1429,0.0000
28,-14.6885,9.7489,0.0000
29,-14.3949,9.4057,0.0000
30,-14.0617,9.1234,0.0000
31,-13.6757,8.9115,0.0000
32,-13.2235,8.7800,0.0000
33,-12.6919,8.7386,0.0000
34,-12.0674,8.7970,0.0000
35,-11.3368,8.9651,0.0000
36,-10.4867,9.2527,0.0000
37,-9.9940,9.4572,0.0000
38,-9.4376,9.7142,0.0000
39,-8.8291,10.0144,0.0000
40,-8.1800,10.3488,0.0000
41,-7.5016,10.7081,0.0000
42,-6.8056,11.0833,0.0000
43,-6.1034,11.4652,0.0000
44,-5.4064,11.8447,0.0000
45,-4.7262,12.2125,0.0000
46,-4.0742,12.5597,0.0000
47,-3.4619,12.8769,0.0000
48,-2.9007,13.1552,0.0000
49,-2.3994,13.3965,0.0000
50,-1.9541,13.6099,0.0000
51,-1.5577,13.7967,0.0000
52,-1.2030,13.9583,0.0000
53,-0.8829,14.0961,0.0000
54,-0.5904,14.2114,0.0000
55,-0.3182,14.3056,0.0000
56,-0.0592,14.3800,0.0000
57,0.1937,14.4360,0.0000
58,0.4476,14.4749,0.0000
59,0.7097,14.4981,0.0000
60,0.9871,14.5070,0.0000
61,1.0907,14.5077,0.0000
62,1.2235,14.5085,0.0000
63,1.3832,14.5093,0.0000
64,1.5678,14.5100,0.0000
65,1.7750,14.5105,0.0000
66,2.0028,14.5108,0.0000
67,2.2491,14.5107,0.0000
68,2.5116,14.5103,0.0000
69,2.7883,14.5094,0.0000
70,3.0770,14.5079,0.0000
71,3.3755,14.5059,0.0000
72,3.6819,14.5031,0.0000
73,3.9938,14.4995,0.0000
74,4.3092,14.4951,0.0000
75,4.6259,14.4898,0.0000
76,4.9418,14.4835,0.0000
77,5.2548,14.4760,0.0000
78,5.5627,14.4675,0.0000
79,5.8634,14.4576,0.0000
80,6.1547,14.4465,0.0000
81,6.4345,14.4340,0.0000
82,6.7008,14.4200,0.0000
83,6.9512,14.4045,0.0000
84,7.1838,14.3874,0.0000
85,7.5911,14.3480,0.0000
86,7.9283,14.3012,0.0000
87,8.2051,14.2464,0.0000
88,8.4314,14.1830,0.0000
89,8.6171,14.1104,0.0000
90,8.7723,14.0279,0.0000
91,8.9066,13.9351,0.0000
92,9.0301,13.8311,0.0000
93,9.1526,13.7155,0.0000
94,9.2840,13.5877,0.0000
95,9.4343,13.4469,0.0000
96,9.6132,13.2927,0.0000
97,9.7430,13.1676,0.0000
98,9.8742,13.0062,0.0000
99,10.0054,12.8130,0.0000
100,10.1354,12.5924,0.0000
101,10.2626,12.3489,0.0000
102,10.3857,12.0870,0.0000
103,10.5033,11.8112,0.0000
104,10.6140,11.5260,0.0000
105,10.7165,11.2358,0.0000
106,10.8092,10.9452,0.0000
107,10.8910,10.6585,0.0000
108,10.9603,10.3804,0.0000
109,11.0156,10.0986,0.0000
110,11.0567,9.8012,0.0000
111,11.0841,9.4933,0.0000
112,11.0983,9.1796,0.0000
113,11.0996,8.8651,0.0000
114,11.0886,8.5548,0.0000
115,11.0658,8.2536,0.0000
116,11.0316,7.9662,0.0000
117,10.9866,7.6978,0.0000
118,10.9311,7.4532,0.0000
119,10.8656,7.2373,0.0000
120,10.7907,7.0550,0.0000
121,10.5988,6.7241,0.0000
122,10.3481,6.3883,0.0000
123,10.0489,6.0497,0.0000
124,9.7113,5.7106,0.0000
125,9.3459,5.3730,0.0000
126,8.9628,5.0393,0.0000
127,8.5724,4.7116,0.0000
128,8.1849,4.3920,0.0000
129,7.8108,4.0828,0.0000
130,7.4602,3.7862,0.0000
131,7.1436,3.5043,0.0000
132,6.8711,3.2392,0.0000
133,6.6068,2.9223,0.0000
134,6.3940,2.5866,0.0000
135,6.2220,2.2431,0.0000
136,6.0803,1.9025,0.0000
137,5.9586,1.5757,0.0000
138,5.8461,1.2734,0.0000
139,5.7325,1.0066,0.0000
140,5.6073,0.7859,0.0000
141,5.4599,0.6222,0.0000
142,5.2798,0.5264,0.0000
143,5.0565,0.5092,0.0000
144,4.7796,0.5814,0.0000
145,4.5436,0.7022,0.0000
146,4.3704,0.8521,0.0000
147,4.2552,1.0293,0.0000
148,4.1929,1.2318,0.0000
149,4.1788,1.4577,0.0000
150,4.2080,1.7051,0.0000
151,4.2757,1.9720,0.0000
152,4.3768,2.2565,0.0000
153,4.5067,2.5567,0.0000
154,4.6603,2.8707,0.0000
155,4.8329,3.1964,0.0000
156,5.0195,3.5321,0.0000
157,5.1096,3.7082,0.0000
158,5.1891,3.8953,0.0000
159,5.2595,4.0920,0.0000
160,5.3226,4.2968,0.0000
161,5.3801,4.5083,0.0000
162,5.4335,4.7249,0.0000
163,5.4847,4.9451,0.0000
164,5.5351,5.1675,0.0000
165,5.5866,5.3907,0.0000
166,5.6407,5.6130,0.0000
167,5.6992,5.8330,0.0000
168,5.7636,6.0493,0.0000
169,5.8353,6.2606,0.0000
170,5.9135,6.4670,0.0000
171,5.9972,6.6689,0.0000
172,6.0852,6.8666,0.0000
173,6.1763,7.0604,0.0000
174,6.2695,7.2508,0.0000
175,6.3637,7.4381,0.0000
176,6.4577,7.6225,0.0000
177,6.5505,7.8046,0.0000
178,6.6408,7.9846,0.0000
179,6.7276,8.1628,0.0000
180,6.8097,8.3398,0.0000
181,6.9076,8.5575,0.0000
182,7.0033,8.7705,0.0000
183,7.0966,8.9777,0.0000
184,7.1875,9.1786,0.0000
185,7.2759,9.3723,0.0000
186,7.3618,9.5581,0.0000
187,7.4451,9.7352,0.0000
188,7.5258,9.9029,0.0000
189,7.6037,10.0604,0.0000
190,7.6788,10.2069,0.0000
191,7.7511,10.3417,0.0000
192,7.8205,10.4640,0.0000
193,7.8868,10.5734,0.0000
194,7.9492,10.6713,0.0000
195,8.0069,10.7593,0.0000
196,8.0590,10.8393,0.0000
197,8.1046,10.9127,0.0000
198,8.1428,10.9814,0.0000
199,8.1727,11.0471,0.0000
200,8.1934,11.1114,0.0000
201,8.2041,11.1761,0.0000
202,8.2038,11.2429,0.0000
203,8.1917,11.3134,0.0000
204,8.1669,11.3894,0.0000
205,8.0873,11.5274,0.0000
206,7.9569,11.6794,0.0000
207,7.7831,11.8424,0.0000
208,7.5735,12.0134,0.0000
209,7.3355,12.1892,0.0000
210,7.0768,12.3668,0.0000
211,6.8048,12.5432,0.0000
212,6.5271,12.7153,0.0000
213,6.2511,12.8802,0.0000
214,5.9845,13.0347,0.0000
215,5.7347,13.1758,0.0000
216,5.5092,13.3005,0.0000
217,5.3809,13.3686,0.0000
218,5.2513,13.4327,0.0000
219,5.1210,13.4925,0.0000
220,4.9901,13.5474,0.0000
221,4.8592,13.5969,0.0000
222,4.7286,13.6407,0.0000
223,4.5987,13.6782,0.0000
224,4.4698,13.7090,0.0000
225,4.3424,13.7326,0.0000
226,4.2168,13.7485,0.0000
227,4.0933,13.7563,0.0000
228,3.9724,13.7554,0.0000
229,3.8544,13.7480,0.0000
230,3.7389,13.7367,0.0000
231,3.6257,13.7222,0.0000
232,3.5145,13.7052,0.0000
233,3.4049,13.6863,0.0000
234,3.2965,13.6664,0.0000
235,3.1891,13.6459,0.0000
236,3.0824,13.6258,0.0000
237,2.9759,13.6065,0.0000
238,2.8694,13.5888,0.0000
239,2.7625,13.5734,0.0000
240,2.6549,13.5610,0.0000
241,2.4412,13.5393,0.0000
242,2.2324,13.5171,0.0000
243,2.0286,13.4946,0.0000
244,1.8299,13.4720,0.0000
245,1.6364,13.4495,0.0000
246,1.4482,13.4274,0.0000
247,1.2656,13.4058,0.0000
248,1.0885,13.3850,0.0000
249,0.9171,13.3651,0.0000
250,0.7515,13.3464,0.0000
251,0.5918,13.3291,0.0000
252,0.4382,13.3133,0.0000
253,0.2405,13.2947,0.0000
254,0.0410,13.2768,0.0000
255,-0.1588,13.2585,0.0000
256,-0.3575,13.2385,0.0000
257,-0.5535,13.2157,0.0000
258,-0.7456,13.1887,0.0000
259,-0.9321,13.1564,0.0000
260,-1.1117,13.1176,0.0000
261,-1.2828,13.0710,0.0000
262,-1.4441,13.0155,0.0000
263,-1.5941,12.9498,0.0000
264,-1.7313,12.8727,0.0000
265,-1.8702,12.7827,0.0000
266,-2.0259,12.6792,0.0000
267,-2.1978,12.5621,0.0000
268,-2.3855,12.4316,0.0000
269,-2.5884,12.2875,0.0000
270,-2.8061,12.1299,0.0000
271,-3.0378,11.9589,0.0000
272,-3.2833,11.7743,0.0000
273,-3.5418,11.5763,0.0000
274,-3.8130,11.3648,0.0000
275,-4.0962,11.1398,0.0000
276,-4.3910,10.9014,0.0000
277,-4.5413,10.7706,0.0000
278,-4.6943,10.6250,0.0000
279,-4.8520,10.4685,0.0000
280,-5.0163,10.3046,0.0000
281,-5.1894,10.1371,0.0000
282,-5.3733,9.9698,0.0000
283,-5.5699,9.8063,0.0000
284,-5.7814,9.6505,0.0000
285,-6.0097,9.5059,0.0000
286,-6.2568,9.3764,0.0000
287,-6.5248,9.2657,0.0000
288,-6.8157,9.1775,0.0000
289,-7.1427,9.0916,0.0000
290,-7.5107,8.9883,0.0000
291,-7.9098,8.8718,0.0000
292,-8.3298,8.7464,0.0000
293,-8.7607,8.6163,0.0000
294,-9.1925,8.4858,0.0000
295,-9.6151,8.3590,0.0000
296,-10.0184,8.2402,0.0000
297,-10.3923,8.1337,0.0000
298,-10.7269,8.0436,0.0000
299,-11.0119,7.9743,0.0000
300,-11.2375,7.9300,0.0000
301,-11.3825,7.8912,0.0000
302,-11.4962,7.8273,0.0000
303,-11.5836,7.7396,0.0000
304,-11.6496,7.6295,0.0000
305,-11.6993,7.4983,0.0000
306,-11.7375,7.3474,0.0000
307,-11.7693,7.1782,0.0000
308,-11.7997,6.9921,0.0000
309,-11.8336,6.7904,0.0000
310,-11.8760,6.5745,0.0000
311,-11.9319,6.3457,0.0000
312,-12.0062,6.1055,0.0000
313,-12.1046,5.8467,0.0000
314,-12.2091,5.6188,0.0000
315,-12.3201,5.4199,0.0000
316,-12.4377,5.2480,0.0000
317,-12.5623,5.1011,0.0000
318,-12.6942,4.9773,0.0000
319,-12.8336,4.8747,0.0000
320,-12.9809,4.7911,0.0000
321,-13.1363,4.7248,0.0000
322,-13.3000,4.6736,0.0000
323,-13.4725,4.6357,0.0000
324,-13.6540,4.6090,0.0000
325,-13.8611,4.5928,0.0000
326,-14.0609,4.5943,0.0000
327,-14.2534,4.6147,0.0000
328,-14.4384,4.6553,0.0000
329,-14.6160,4.7174,0.0000
330,-14.7862,4.8023,0.0000
331,-14.9490,4.9112,0.0000
332,-15.1044,5.0455,0.0000
333,-15.2523,5.2064,0.0000
334,-15.3928,5.3952,0.0000
335,-15.5258,5.6132,0.0000
336,-15.6513,5.8617,0.0000
337,-15.7131,5.9973,0.0000
338,-15.7763,6.1394,0.0000
339,-15.8405,6.2869,0.0000
340,-15.9051,6.4389,0.0000
341,-15.9698,6.5944,0.0000
342,-16.0341,6.7524,0.0000
343,-16.0974,6.9120,0.0000
344,-16.1594,7.0721,0.0000
345,-16.2196,7.2318,0.0000
346,-16.2775,7.3900,0.0000
347,-16.3326,7.5458,0.0000
348,-16.3845,7.6983,0.0000
349,-16.4330,7.8466,0.0000
350,-16.4792,7.9909,0.0000
351,-16.5243,8.1315,0.0000
352,-16.5696,8.2689,0.0000
353,-16.6165,8.4034,0.0000
354,-16.6663,8.5353,0.0000
355,-16.7203,8.6651,0.0000
356,-16.7798,8.7930,0.0000
357,-16.8461,8.9196,0.0000
358,-16.9205,9.0451,0.0000
359,-17.0044,9.1699,0.0000
360,-17.0990,9.2943,0.0000
361,-17.2643,9.4620,0.0000
362,-17.4371,9.5688,0.0000
363,-17.6193,9.6228,0.0000
364,-17.8127,9.6322,0.0000
365,-18.0191,9.6050,0.0000
366,-18.2404,9.5493,0.0000
367,-18.4784,9.4732,0.0000
368,-18.7349,9.3847,0.0000
