Vértice,X,Y,Z
0,-21.9839,15.7069,0.0000
1,-21.7716,15.7611,0.0000
2,-21.5569,15.8129,0.0000
3,-21.3420,15.8605,0.0000
4,-21.1291,15.9016,0.0000
5,-20.9203,15.9343,0.0000
6,-20.7179,15.9566,0.0000
7,-20.5241,15.9664,0.0000
8,-20.3410,15.9618,0.0000
9,-20.1710,15.9405,0.0000
10,-20.0161,15.9008,0.0000
11,-19.8786,15.8404,0.0000
12,-19.7607,15.7574,0.0000
13,-19.6201,15.6324,0.0000
14,-19.4189,15.4503,0.0000
15,-19.1664,15.2160,0.0000
16,-18.8719,14.9341,0.0000
17,-18.5445,14.6093,0.0000
18,-18.1934,14.2465,0.0000
19,-17.8280,13.8502,0.0000
20,-17.4574,13.4252,0.0000
21,-17.0908,12.9763,0.0000
22,-16.7374,12.5082,0.0000
23,-16.4066,12.0255,0.0000
24,-16.1074,11.5331,0.0000
25,-15.8311,11.0398,0.0000
26,-15.5558,10.5593,0.0000
27,-15.2705,10.1032,0.0000
28,-14.9646,9.6829,0.0000
29,-14.6274,9.3101,0.0000
30,-14.2481,8.9962,0.0000
31,-13.8159,8.7529,0.0000
32,-13.3202,8.5916,0.0000
33,-12.7501,8.5240,0.0000
34,-12.0950,8.5615,0.0000
35,-11.3441,8.7158,0.0000
36,-10.4867,8.9984,0.0000
37,-9.9940,9.2018,0.0000
38,-9.4376,9.4558,0.0000
39,-8.8291,9.7514,0.0000
40,-8.1800,10.0801,0.0000
41,-7.5016,10.4330,0.0000
42,-6.8056,10.8013,0.0000
43,-6.1034,11.1764,0.0000
44,-5.4064,11.5494,0.0000
45,-4.7262,11.9115,0.0000
46,-4.0742,12.2541,0.0000
47,-3.4619,12.5684,0.0000
48,-2.9007,12.8456,0.0000
49,-2.3994,13.0883,0.0000
50,-1.9541,13.3058,0.0000
51,-1.5577,13.4989,0.0000
52,-1.2030,13.6683,0.0000
53,-0.8829,13.8150,0.0000
54,-0.5904,13.9397,0.0000
55,-0.3182,14.0433,0.0000
56,-0.0592,14.1266,0.0000
57,0.1937,14.1904,0.0000
58,0.4476,14.2355,0.0000
59,0.7097,14.2629,0.0000
60,0.9871,14.2733,0.0000
61,1.0907,14.2739,0.0000
62,1.2235,14.2743,0.0000
63,1.3832,14.2745,0.0000
64,1.5678,14.2741,0.0000
65,1.7750,14.2732,0.0000
66,2.0028,14.2716,0.0000
67,2.2491,14.2691,0.0000
68,2.5116,14.2655,0.0000
69,2.7883,14.2609,0.0000
70,3.0770,14.2549,0.0000
71,3.3755,14.2475,0.0000
72,3.6819,14.2385,0.0000
73,3.9938,14.2279,0.0000
74,4.3092,14.2157,0.0000
75,4.6259,14.2022,0.0000
76,4.9418,14.1875,0.0000
77,5.2548,14.1717,0.0000
78,5.5627,14.1551,0.0000
79,5.8634,14.1379,0.0000
80,6.1547,14.1201,0.0000
81,6.4345,14.1019,0.0000
82,6.7008,14.0837,0.0000
83,6.9512,14.0654,0.0000
84,7.1838,14.0473,0.0000
85,7.5911,14.0047,0.0000
86,7.9283,13.9491,0.0000
87,8.2051,13.8811,0.0000
88,8.4314,13.8012,0.0000
89,8.6171,13.7098,0.0000
90,8.7723,13.6075,0.0000
91,8.9066,13.4947,0.0000
92,9.0301,13.3720,0.0000
93,9.1526,13.2398,0.0000
94,9.2840,13.0988,0.0000
95,9.4343,12.9493,0.0000
96,9.6132,12.7919,0.0000
97,9.7359,12.6767,0.0000
98,9.8474,12.5425,0.0000
99,9.9490,12.3905,0.0000
100,10.0418,12.2214,0.0000
101,10.1268,12.0365,0.0000
102,10.2052,11.8366,0.0000
103,10.2782,11.6229,0.0000
104,10.3467,11.3962,0.0000
105,10.4120,11.1576,0.0000
106,10.4751,10.9081,0.0000
107,10.5372,10.6487,0.0000
108,10.5994,10.3804,0.0000
109,10.6539,10.0986,0.0000
110,10.6926,9.8012,0.0000
111,10.7163,9.4933,0.0000
112,10.7259,9.1796,0.0000
113,10.7220,8.8651,0.0000
114,10.7056,8.5548,0.0000
115,10.6773,8.2536,0.0000
116,10.6379,7.9662,0.0000
117,10.5883,7.6978,0.0000
118,10.5291,7.4532,0.0000
119,10.4613,7.2373,0.0000
120,10.3855,7.0550,0.0000
121,10.1945,6.7241,0.0000
122,9.9462,6.3883,0.0000
123,9.6506,6.0497,0.0000
124,9.3176,5.7106,0.0000
125,8.9574,5.3730,0.0000
126,8.5798,5.0393,0.0000
127,8.1949,4.7116,0.0000
128,7.8127,4.3920,0.0000
129,7.4431,4.0828,0.0000
130,7.0962,3.7862,0.0000
131,6.7819,3.5043,0.0000
132,6.5103,3.2392,0.0000
133,6.2493,2.9328,0.0000
134,6.0459,2.6262,0.0000
135,5.8895,2.3264,0.0000
136,5.7695,2.0406,0.0000
137,5.6754,1.7756,0.0000
138,5.5964,1.5384,0.0000
139,5.5219,1.3362,0.0000
140,5.4414,1.1759,0.0000
141,5.3442,1.0645,0.0000
142,5.2196,1.0091,0.0000
143,5.0572,1.0166,0.0000
144,4.8461,1.0940,0.0000
145,4.6577,1.2051,0.0000
146,4.5299,1.3274,0.0000
147,4.4575,1.4626,0.0000
148,4.4354,1.6124,0.0000
149,4.4582,1.7783,0.0000
150,4.5206,1.9621,0.0000
151,4.6174,2.1654,0.0000
152,4.7433,2.3898,0.0000
153,4.8931,2.6371,0.0000
154,5.0615,2.9088,0.0000
155,5.2432,3.2066,0.0000
156,5.4329,3.5321,0.0000
157,5.5226,3.7082,0.0000
158,5.6009,3.8953,0.0000
159,5.6696,4.0920,0.0000
160,5.7302,4.2968,0.0000
161,5.7847,4.5083,0.0000
162,5.8347,4.7249,0.0000
163,5.8819,4.9451,0.0000
164,5.9281,5.1675,0.0000
165,5.9751,5.3907,0.0000
166,6.0245,5.6130,0.0000
167,6.0782,5.8330,0.0000
168,6.1377,6.0493,0.0000
169,6.2045,6.2606,0.0000
170,6.2779,6.4670,0.0000
171,6.3568,6.6689,0.0000
172,6.4403,6.8666,0.0000
173,6.5273,7.0604,0.0000
174,6.6166,7.2508,0.0000
175,6.7073,7.4381,0.0000
176,6.7983,7.6225,0.0000
177,6.8886,7.8046,0.0000
178,6.9771,7.9846,0.0000
179,7.0627,8.1628,0.0000
180,7.1445,8.3398,0.0000
181,7.2426,8.5575,0.0000
182,7.3390,8.7705,0.0000
183,7.4334,8.9777,0.0000
184,7.5257,9.1786,0.0000
185,7.6159,9.3723,0.0000
186,7.7039,9.5581,0.0000
187,7.7895,9.7352,0.0000
188,7.8726,9.9029,0.0000
189,7.9532,10.0604,0.0000
190,8.0311,10.2069,0.0000
191,8.1063,10.3417,0.0000
192,8.1786,10.4640,0.0000
193,8.2478,10.5734,0.0000
194,8.3131,10.6713,0.0000
195,8.3736,10.7593,0.0000
196,8.4283,10.8393,0.0000
197,8.4764,10.9127,0.0000
198,8.5169,10.9814,0.0000
199,8.5488,11.0471,0.0000
200,8.5713,11.1114,0.0000
201,8.5835,11.1761,0.0000
202,8.5843,11.2429,0.0000
203,8.5728,11.3134,0.0000
204,8.5483,11.3894,0.0000
205,8.4612,11.5351,0.0000
206,8.3100,11.7085,0.0000
207,8.1049,11.9036,0.0000
208,7.8560,12.1149,0.0000
209,7.5735,12.3365,0.0000
210,7.2675,12.5626,0.0000
211,6.9483,12.7875,0.0000
212,6.6260,13.0055,0.0000
213,6.3107,13.2106,0.0000
214,6.0128,13.3973,0.0000
215,5.7422,13.5598,0.0000
216,5.5092,13.6921,0.0000
217,5.3802,13.7589,0.0000
218,5.2488,13.8193,0.0000
219,5.1157,13.8734,0.0000
220,4.9814,13.9212,0.0000
221,4.8465,13.9628,0.0000
222,4.7118,13.9980,0.0000
223,4.5777,14.0270,0.0000
224,4.4448,14.0498,0.0000
225,4.3139,14.0663,0.0000
226,4.1855,14.0765,0.0000
227,4.0602,14.0806,0.0000
228,3.9387,14.0784,0.0000
229,3.8207,14.0723,0.0000
230,3.7056,14.0649,0.0000
231,3.5929,14.0563,0.0000
232,3.4822,14.0466,0.0000
233,3.3733,14.0361,0.0000
234,3.2657,14.0249,0.0000
235,3.1590,14.0134,0.0000
236,3.0529,14.0015,0.0000
237,2.9471,13.9896,0.0000
