Vértice,X,Y,Z
0,-21.9839,15.9216,0.0000
1,-21.7716,15.9759,0.0000
2,-21.5569,16.0281,0.0000
3,-21.3420,16.0762,0.0000
4,-21.1291,16.1180,0.0000
5,-20.9203,16.1515,0.0000
6,-20.7179,16.1746,0.0000
7,-20.5241,16.1853,0.0000
8,-20.3410,16.1814,0.0000
9,-20.1710,16.1609,0.0000
10,-20.0161,16.1217,0.0000
11,-19.8786,16.0617,0.0000
12,-19.7607,15.9788,0.0000
13,-19.6165,15.8494,0.0000
14,-19.4055,15.6553,0.0000
15,-19.1381,15.4028,0.0000
16,-18.8249,15.0981,0.0000
17,-18.4763,14.7474,0.0000
18,-18.1028,14.3572,0.0000
19,-17.7149,13.9335,0.0000
20,-17.3231,13.4826,0.0000
21,-16.9378,13.0109,0.0000
22,-16.5696,12.5246,0.0000
23,-16.2288,12.0299,0.0000
24,-15.9261,11.5331,0.0000
25,-15.6534,11.0425,0.0000
26,-15.3879,10.5696,0.0000
27,-15.1175,10.1248,0.0000
28,-14.8303,9.7188,0.0000
29,-14.5143,9.3621,0.0000
30,-14.1574,9.0654,0.0000
31,-13.7477,8.8392,0.0000
32,-13.2732,8.6941,0.0000
33,-12.7218,8.6408,0.0000
34,-12.0816,8.6897,0.0000
35,-11.3406,8.8515,0.0000
36,-10.4867,9.1368,0.0000
37,-9.9940,9.3414,0.0000
38,-9.4376,9.5985,0.0000
39,-8.8291,9.8990,0.0000
40,-8.1800,10.2337,0.0000
41,-7.5016,10.5934,0.0000
42,-6.8056,10.9690,0.0000
43,-6.1034,11.3513,0.0000
44,-5.4064,11.7311,0.0000
45,-4.7262,12.0993,0.0000
46,-4.0742,12.4467,0.0000
47,-3.4619,12.7642,0.0000
48,-2.9007,13.0425,0.0000
49,-2.3994,13.2830,0.0000
50,-1.9541,13.4942,0.0000
51,-1.5577,13.6777,0.0000
52,-1.2030,13.8352,0.0000
53,-0.8829,13.9682,0.0000
54,-0.5904,14.0786,0.0000
55,-0.3182,14.1677,0.0000
56,-0.0592,14.2374,0.0000
57,0.1937,14.2893,0.0000
58,0.4476,14.3249,0.0000
59,0.7097,14.3459,0.0000
60,0.9871,14.3540,0.0000
61,1.0907,14.3544,0.0000
62,1.2235,14.3544,0.0000
63,1.3832,14.3539,0.0000
64,1.5678,14.3528,0.0000
65,1.7750,14.3512,0.0000
66,2.0028,14.3491,0.0000
67,2.2491,14.3463,0.0000
68,2.5116,14.3428,0.0000
69,2.7883,14.3388,0.0000
70,3.0770,14.3340,0.0000
71,3.3755,14.3285,0.0000
72,3.6819,14.3222,0.0000
73,3.9938,14.3152,0.0000
74,4.3092,14.3074,0.0000
75,4.6259,14.2987,0.0000
76,4.9418,14.2892,0.0000
77,5.2548,14.2788,0.0000
78,5.5627,14.2675,0.0000
79,5.8634,14.2552,0.0000
80,6.1547,14.2420,0.0000
81,6.4345,14.2277,0.0000
82,6.7008,14.2125,0.0000
83,6.9512,14.1961,0.0000
84,7.1838,14.1787,0.0000
85,7.5911,14.1379,0.0000
86,7.9283,14.0874,0.0000
87,8.2051,14.0268,0.0000
88,8.4314,13.9563,0.0000
89,8.6171,13.8755,0.0000
90,8.7723,13.7845,0.0000
91,8.9066,13.6830,0.0000
92,9.0301,13.5709,0.0000
93,9.1526,13.4482,0.0000
94,9.2840,13.3146,0.0000
95,9.4343,13.1701,0.0000
96,9.6132,13.0145,0.0000
97,9.7394,12.8949,0.0000
98,9.8608,12.7486,0.0000
99,9.9772,12.5783,0.0000
100,10.0885,12.3863,0.0000
101,10.1946,12.1754,0.0000
102,10.2953,11.9479,0.0000
103,10.3905,11.7066,0.0000
104,10.4801,11.4539,0.0000
105,10.5639,11.1923,0.0000
106,10.6418,10.9246,0.0000
107,10.7137,10.6530,0.0000
108,10.7794,10.3804,0.0000
109,10.8342,10.0986,0.0000
110,10.8738,9.8012,0.0000
111,10.8989,9.4933,0.0000
112,10.9102,9.1796,0.0000
113,10.9083,8.8651,0.0000
114,10.8939,8.5548,0.0000
115,10.8676,8.2536,0.0000
116,10.8302,7.9662,0.0000
117,10.7822,7.6978,0.0000
118,10.7245,7.4532,0.0000
119,10.6575,7.2373,0.0000
120,10.5820,7.0550,0.0000
121,10.3905,6.7241,0.0000
122,10.1405,6.3883,0.0000
